Nom,Age,Nationalite,Valeur_Marchande,Prix_Raw,URL_Profil
Riyad Mahrez,32,Algérie,"20,00 mio. €","35,00 mio. €",https://www.transfermarkt.fr/riyad-mahrez/profil/spieler/171424
Arthur Cabral,25,Brésil,"20,00 mio. €","20,50 mio. €",https://www.transfermarkt.fr/arthur-cabral/profil/spieler/390638
Wataru Endo,30,Japon,"6,50 mio. €","20,00 mio. €",https://www.transfermarkt.fr/wataru-endo/profil/spieler/146310
Denis Zakaria,26,Suisse,"18,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/denis-zakaria/profil/spieler/334526
Enzo Le Fée,23,France,"20,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/enzo-le-fee/profil/spieler/633992
Konstantinos Mavropanos,25,Grèce,"15,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/konstantinos-mavropanos/profil/spieler/415912
Lucas Beraldo,20,Brésil,"15,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/lucas-beraldo/profil/spieler/872171
Gabriel Moscardo,18,Brésil,"15,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/gabriel-moscardo/profil/spieler/1086636
Abakar Sylla,20,Côte d'Ivoire,"8,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/abakar-sylla/profil/spieler/962555
Matheus França,19,Brésil,"9,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/matheus-franca/profil/spieler/743597
Bart Verbruggen,20,Pays-Bas,"10,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/bart-verbruggen/profil/spieler/565093
Cyril Ngonge,23,Belgique,"6,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/cyril-ngonge/profil/spieler/358032
Andrea Pinamonti,24,Italie,"15,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/andrea-pinamonti/profil/spieler/315865
Nicolas Seiwald,22,Autriche,"20,00 mio. €","20,00 mio. €",https://www.transfermarkt.fr/nicolas-seiwald/profil/spieler/404950
Marcel Sabitzer,29,Autriche,"20,00 mio. €","19,00 mio. €",https://www.transfermarkt.fr/marcel-sabitzer/profil/spieler/106987
Merih Demiral,25,Turquie,"20,00 mio. €","17,00 mio. €",https://www.transfermarkt.fr/merih-demiral/profil/spieler/340879
