Nom,Age,Position_Encoded,Valeur_Marchande_Clean,Matchs_22_23,Buts_22_23,Minutes_22_23,Duree_Contrat,Prix,Ligue_Autre,Ligue_Bundesliga,Ligue_LaLiga,Ligue_Ligue 1,Ligue_Premier League,Ligue_Serie A
Aljosa Vasic,23,3,800000.0,37,8,2924,5.0,2000000.0,True,False,False,False,False,False
Sebastiano Desplanches,22,1,800000.0,13,0,1170,3.0,2000000.0,True,False,False,False,False,False
Jun-ho Bae,22,3,275000.0,17,2,1039,4.0,2000000.0,True,False,False,False,False,False
Alan Minda,22,4,600000.0,9,3,237,7.0,2000000.0,True,False,False,False,False,False
Emmanuel Gyasi,32,3,2000000.0,36,2,2916,3.0,2000000.0,True,False,False,False,False,False
Lamine Diack,25,3,1500000.0,32,3,1861,3.0,2000000.0,True,False,False,False,False,False
Mileta Rajović,26,4,1000000.0,41,22,3515,6.0,2000000.0,True,False,False,False,False,False
Daiki Hashioka,26,2,2000000.0,35,0,2997,3.0,2000000.0,True,False,False,False,False,False
Ronaldo,25,4,1400000.0,41,5,3380,5.0,2000000.0,True,False,False,False,False,False
Simone Scuffet,29,1,2000000.0,49,0,4440,5.0,2000000.0,False,False,False,False,False,True
Franco Fagúndez,25,4,1200000.0,39,4,2044,3.0,2000000.0,True,False,False,False,False,False
Ivor Pandur,25,1,2000000.0,31,0,2790,4.0,2000000.0,True,False,False,False,False,False
Robin Tihi,23,2,1000000.0,16,0,1179,5.0,2000000.0,True,False,False,False,False,False
Adama Boiro,23,2,200000.0,24,0,1284,6.0,2000000.0,False,False,True,False,False,False
José Castillo,24,2,1500000.0,26,2,1672,1.0,2000000.0,True,False,False,False,False,False
Ilan Kebbal,27,4,2000000.0,29,4,1580,5.0,2000000.0,False,False,False,True,False,False
Monsef Bakrar,25,4,1000000.0,46,12,2762,5.0,2000000.0,True,False,False,False,False,False
Stian Gregersen,30,2,1800000.0,37,1,3110,4.0,2000000.0,True,False,False,False,False,False
Mateusão,21,4,1000000.0,14,2,868,1.0,2000000.0,True,False,False,False,False,False
Marvin Pieringer,26,4,2000000.0,26,14,1783,4.0,1800000.0,False,True,False,False,False,False
Matheus Fernandes,27,3,2000000.0,55,1,4073,4.0,1800000.0,True,False,False,False,False,False
Francisco González Metilli,28,3,2000000.0,49,6,3154,3.0,1730000.0,True,False,False,False,False,False
Maksym Taloverov,25,2,2000000.0,29,2,1887,5.0,1600000.0,True,False,False,False,False,False
Dani Silva,25,3,2000000.0,39,1,2203,3.0,1500000.0,True,False,False,False,False,False
Moses Usor,24,4,2000000.0,45,7,2326,5.0,1500000.0,False,True,False,False,False,False
Bart Ramselaar,29,4,2000000.0,12,0,499,3.0,1500000.0,False,False,False,False,True,False
Lukasz Lakomy,25,3,2000000.0,35,4,2888,3.0,1400000.0,True,False,False,False,False,False
Nikola Jojic,22,4,2000000.0,38,8,3123,3.0,1400000.0,True,False,False,False,False,False
Matija Sarkic,26,1,2000000.0,12,0,1035,1.0,1400000.0,True,False,False,False,False,False
José Abella,31,2,2000000.0,36,0,2324,1.0,1390000.0,True,False,False,False,False,False
Sebastian Jørgensen,25,4,2000000.0,56,9,3368,3.0,1350000.0,True,False,False,False,False,False
Dani Cárdenas,28,1,2000000.0,34,0,3060,4.0,1300000.0,False,False,True,False,False,False
Konan N’Dri,25,4,2000000.0,34,7,2188,4.0,1300000.0,False,False,False,False,False,True
Alberto Cerri,29,4,2000000.0,35,9,2370,5.0,1250000.0,True,False,False,False,False,False
André Clóvis,28,4,2000000.0,43,31,3774,5.0,1250000.0,True,False,False,False,False,False
Jawad El Yamiq,33,2,2000000.0,25,1,1609,3.0,1200000.0,True,False,False,False,False,False
Santiago Toloza,23,3,2000000.0,32,6,2234,1.0,1110000.0,True,False,False,False,False,False
